index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
0,task-6-0,vm4,0.0,2.403254400000151,2.40325,7.599999662488699e-06
1,task-5-1,vm2,0.040147,5.494150500000615,5.534291,6.399999620043673e-06
2,task-8-2,vm4,0.040657,18.59019090000038,18.630843,3.600000127335079e-06
3,task-2-3,vm3,0.041207,0.5586628999990353,0.599866,5.399999281507917e-06
4,task-10-4,vm3,0.041507,11.197607400001289,11.23911,3.1999989005271345e-06
5,task-3-5,vm3,0.041973,13.882842600000004,13.924812,5.100000635138713e-06
6,task-4-6,vm3,0.04221,12.918197500001042,12.960404,1.7999991541728377e-06
8,task-7-8,vm1,0.042425,21.025025000000824,21.067447,2.0000006770715117e-06
10,task-9-10,vm2,0.042654,22.842581299999438,22.88523,3.2999996619764715e-06
13,task-9-13,vm4,0.042939,8.862365000000864,8.905299,1.999998858082108e-06
15,task-8-15,vm4,0.043156,24.901821700001165,24.944974,1.7000002117129043e-06
16,task-2-16,vm4,0.043359,21.11251689999881,21.155869,2.0000006770715117e-06
17,task-5-17,vm4,0.043578,3.882362500000454,3.925937,1.8999999156221747e-06
18,task-6-18,vm4,0.043797,20.836761299999125,20.880553,3.9000005926936865e-06
19,task-10-19,vm4,0.044172,14.742023500000869,14.786192,3.4000004234258085e-06
7,task-4-7,vm3,0.600103,15.060750800001188,15.660851,0.5576694999999745
9,task-3-9,vm3,11.239427,5.404166800000894,16.643591,11.19676040000013
12,task-7-12,vm3,12.960735,8.948387000000366,21.909118,12.917769200001203
11,task-1-11,vm1,21.067834,0.5254325000005338,21.593264,21.024846199999956
14,task-1-14,vm1,21.593519,0.5153498999989097,22.108861,21.550332999999227
